id,brand,name,price,price_sign,currency,image_link,product_link,website_link,description,rating,category,product_type,tag_list,created_at,updated_at,product_api_url,api_featured_image,product_colors
752,clinique,Clinique Pop&trade; Lip Shadow Cushion Matte Lip Powder,19.5,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_ZXH101_181x209.png,https://www.clinique.com/product/1605/45673/makeup/lipsticks/clinique-pop-lip-shadow-cushion-matte-lip-powder,https://www.clinique.com,"Clinique Pop™ Lip Shadow is a weightless matte powder that delivers bold, highly pigmented lip color.",,lipstick,lipstick,[],2017-12-23T16:36:47.459Z,2017-12-23T23:38:45.437Z,http://makeup-api.herokuapp.com/api/v1/products/752.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/752/original/data?1514072325,"[{'hex_value': '#BB5974', 'colour_name': 'Blossom Pop'}, {'hex_value': '#9F6469', 'colour_name': 'Dune Pop'}, {'hex_value': '#C91C67', 'colour_name': 'Fuchsia Pop'}, {'hex_value': '#A82F5B', 'colour_name': 'Fiesta Pop'}, {'hex_value': '#C02840', 'colour_name': 'Crimson Pop'}, {'hex_value': '#C6243C', 'colour_name': 'Bright Pop'}, {'hex_value': '#83403C', 'colour_name': 'Brown Sugar Pop'}, {'hex_value': '#713547', 'colour_name': 'Fun Pop'}]"
753,clinique,Clinique Pop&trade; Lip Colour + Primer,18.5,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_ZEK2_181x209.png,https://www.clinique.com/product/1605/35082/makeup/lipsticks/clinique-pop-lip-colour-primer,https://www.clinique.com,"Luxurious yet weightless formula merges bold, saturated colour with a smoothing primer. Glides on effortlessly to a modern-velvet finish. Colour stays true, keeps lips comfortably moisturized for 8 hours. Allergy Tested. 100% Fragrance Free.",,lipstick,lipstick,[],2017-12-23T16:36:48.276Z,2017-12-23T23:38:46.398Z,http://makeup-api.herokuapp.com/api/v1/products/753.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/753/original/data?1514072326,"[{'hex_value': '#d3796e', 'colour_name': 'Nude Pop'}, {'hex_value': '#f37e91', 'colour_name': 'Fab Pop'}, {'hex_value': '#e08e7f', 'colour_name': 'Beige Pop'}, {'hex_value': '#f47b74', 'colour_name': 'Melon Pop'}, {'hex_value': '#b75c54', 'colour_name': 'Bare Pop'}, {'hex_value': '#eb6b8a', 'colour_name': 'Sweet Pop'}, {'hex_value': '#ef5498', 'colour_name': 'Wow Pop'}, {'hex_value': '#974b6a', 'colour_name': 'Grape Pop'}, {'hex_value': '#eb4944', 'colour_name': 'Poppy Pop'}, {'hex_value': '#b45865', 'colour_name': 'Plum Pop'}, {'hex_value': '#cb254c', 'colour_name': 'Punch Pop'}, {'hex_value': '#b90e26', 'colour_name': 'Cherry Pop'}, {'hex_value': '#8d3949', 'colour_name': 'Love Pop'}, {'hex_value': '#750d15', 'colour_name': 'Passion Pop'}, {'hex_value': '#641126', 'colour_name': 'Berry Pop'}, {'hex_value': '#5a1e1b', 'colour_name': 'Cola Pop'}]"
754,clinique,Clinique Pop™ Matte Lip Colour + Primer,18.5,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_ZTPH01_181x209.png,https://www.clinique.com/product/1605/42767/makeup/lipsticks/clinique-poptm-matte-lip-colour-primer,https://www.clinique.com,"Weightless yet pigment-saturated formula hugs lips with 8 hours of creamy matte comfort. Built-in primer helps smooth lips for an easy, even glide every time.",,lipstick,lipstick,[],2017-12-23T16:36:49.019Z,2017-12-23T23:38:51.741Z,http://makeup-api.herokuapp.com/api/v1/products/754.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/754/original/data?1514072331,"[{'hex_value': '#4a1323', 'colour_name': 'Bold Pop'}, {'hex_value': '#a8100b', 'colour_name': 'Ruby Pop'}, {'hex_value': '#961741', 'colour_name': 'Rose Pop'}, {'hex_value': '#7f2d55', 'colour_name': 'Pow Pop'}, {'hex_value': '#cc0d49', 'colour_name': 'Graffiti Pop'}, {'hex_value': '#592a26', 'colour_name': 'Clove Pop'}, {'hex_value': '#a80028', 'colour_name': 'Peppermint Pop'}, {'hex_value': '#a54b60', 'colour_name': 'Cute Pop'}, {'hex_value': '#af1a58', 'colour_name': 'Shock Pop'}, {'hex_value': '#d3313f', 'colour_name': 'Coral Pop'}, {'hex_value': '#de387d', 'colour_name': 'Mod Pop'}, {'hex_value': '#900925', 'colour_name': 'Icon Pop'}, {'hex_value': '#dc7587', 'colour_name': 'Peony Pop'}, {'hex_value': '#9f5859', 'colour_name': 'Blushing Pop'}, {'hex_value': '#301018', 'colour_name': 'Avant Garde Pop'}, {'hex_value': '#8e4546', 'colour_name': 'Beach Pop'}]"
755,clinique,Chubby Stick&trade; Moisturizing Lip Colour Balm,17.5,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_749K01_181x209.png,https://www.clinique.com/product/1605/15520/makeup/lipsticks/chubby-stick-moisturizing-lip-colour-balm,https://www.clinique.com,"Super-nourishing balm is loaded with mango and shea butters. Just what dry, delicate lips need to feel comfortably soft and smooth. Natural-looking lip tints have a subtle sheen.",,lipstick,lipstick,[],2017-12-23T16:36:50.153Z,2017-12-23T23:38:46.729Z,http://makeup-api.herokuapp.com/api/v1/products/755.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/755/original/data?1514072326,"[{'hex_value': '#b1515d', 'colour_name': 'Super Strawberry'}, {'hex_value': '#b76f69', 'colour_name': 'Heaping Hazelnut'}, {'hex_value': '#954b57', 'colour_name': 'Graped-Up'}, {'hex_value': '#af6262', 'colour_name': 'Whole Lotta Honey'}, {'hex_value': '#9b4344', 'colour_name': 'Fuller Fig'}, {'hex_value': '#853f36', 'colour_name': 'Richer Raisin'}, {'hex_value': '#ce1f1d', 'colour_name': 'Two Ton Tomato'}, {'hex_value': '#c45a5b', 'colour_name': 'Mega Melon'}, {'hex_value': '#f66366', 'colour_name': 'Oversized Orange'}, {'hex_value': '#c04156', 'colour_name': 'Chunky Cherry'}, {'hex_value': '#b11f60', 'colour_name': 'Pudgy Peony'}, {'hex_value': '#e17587', 'colour_name': ""Woppin' Watermelon""}, {'hex_value': '#984d50', 'colour_name': 'Bountiful Blush'}, {'hex_value': '#e76477', 'colour_name': 'Curvy Candy'}, {'hex_value': '#e3727c', 'colour_name': 'Mighty Mimosa'}, {'hex_value': '#8f3851', 'colour_name': 'Voluptuous Violet'}, {'hex_value': '#f7659e', 'colour_name': 'Plumped Up Pink'}, {'hex_value': '#f09495', 'colour_name': 'Supreme Sorbet'}, {'hex_value': '#a7354b', 'colour_name': 'Jumbo Jasmine'}]"
756,clinique,Clinique Pop Glaze&trade; Sheer Lip Colour + Primer,18.5,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_ZLPR02_181x209.png,https://www.clinique.com/product/1605/39138/makeup/lipsticks/clinique-pop-glaze-sheer-lip-colour-primer,https://www.clinique.com,,,lipstick,lipstick,[],2017-12-23T16:36:51.913Z,2017-12-23T23:38:47.271Z,http://makeup-api.herokuapp.com/api/v1/products/756.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/756/original/data?1514072327,"[{'hex_value': '#f276a2', 'colour_name': 'Bubblegum Pop'}, {'hex_value': '#c05c67', 'colour_name': 'Sugar Plum Pop'}, {'hex_value': '#cc376a', 'colour_name': 'Sprinkle Pop'}, {'hex_value': '#c12838', 'colour_name': 'Fireball Pop'}, {'hex_value': '#f45c5f', 'colour_name': 'Melon Drop Pop'}, {'hex_value': '#731e3b', 'colour_name': 'Licorice Pop'}]"
757,clinique,Clinique Pop™ Lacquer Lip Colour + Primer  ,18.5,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_ZLPR_181x209.png,https://www.clinique.com/product/1605/39139/makeup/lipsticks/clinique-poptm-lacquer-lip-colour-primer,https://www.clinique.com,,,lipstick,lipstick,[],2017-12-23T16:36:52.785Z,2017-12-23T23:38:47.732Z,http://makeup-api.herokuapp.com/api/v1/products/757.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/757/original/data?1514072327,"[{'hex_value': '#d88282', 'colour_name': 'Nude Pop'}, {'hex_value': '#d7142e', 'colour_name': 'Lava Pop'}, {'hex_value': '#cc6674', 'colour_name': 'Sugar Pop'}, {'hex_value': '#a65957', 'colour_name': 'Cocoa Pop'}, {'hex_value': '#ff1e5a', 'colour_name': 'Sweetie Pop'}, {'hex_value': '#6a1144', 'colour_name': 'Peace Pop'}, {'hex_value': '#ec878d', 'colour_name': 'Wink Pop'}, {'hex_value': '#ef005f', 'colour_name': 'Go-Go Pop'}, {'hex_value': '#924257', 'colour_name': 'Love Pop'}, {'hex_value': '#ff3d3c', 'colour_name': 'Happy Pop'}]"
758,clinique,Different Lipstick,17.5,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_617G_181x209.png,https://www.clinique.com/product/1605/5887/makeup/lipsticks/different-lipstick,https://www.clinique.com,"Different because of its smooth, comfortable feel. Moderate coverage in a remarkable range of shades, from cream to pearl. Every one packed with rich emollients.",,lipstick,lipstick,[],2017-12-23T16:36:53.475Z,2017-12-23T23:38:48.027Z,http://makeup-api.herokuapp.com/api/v1/products/758.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/758/original/data?1514072327,"[{'hex_value': '#8c3050', 'colour_name': 'A Different Grape'}, {'hex_value': '#e26872', 'colour_name': 'Sugared Grapefruit'}, {'hex_value': '#b96565', 'colour_name': 'Think Bronze'}, {'hex_value': '#B76E74', 'colour_name': 'Guava Stain'}, {'hex_value': '#DC555E', 'colour_name': 'Sweet Honey'}, {'hex_value': '#9f3245', 'colour_name': 'Plum Brandy'}, {'hex_value': '#8f4a4e', 'colour_name': 'Surprise'}, {'hex_value': '#a44155', 'colour_name': 'Shy'}, {'hex_value': '#9c0b2d', 'colour_name': 'Angel Red'}, {'hex_value': '#ab455e', 'colour_name': 'Raspberry Glace'}, {'hex_value': '#CC364C', 'colour_name': 'Ripe Raisin'}, {'hex_value': '#A3555D', 'colour_name': 'Spiced Apple'}, {'hex_value': '#984a37', 'colour_name': 'Tenderheart'}, {'hex_value': '#dd587c', 'colour_name': 'Glazed Berry'}, {'hex_value': '#AD665D', 'colour_name': 'Bronze Leaf'}]"
759,clinique,Clinique + Jonathan Adler: Pop Lip Colour + Primer,15.4,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_K22002_181x209.png,https://www.clinique.com/product/1605/49842/makeup/lipsticks/clinique-jonathan-adler-pop-lip-colour-primer,https://www.clinique.com,"An exclusive collection of luminous Clinique Pop™ lipsticks by Jonathan Adler. Includes 3 limited-edition shades inspired by his favorite destinations: Palm Beach Pop, Capri Pop and Santorini Pop.  Jewel-like lipsticks in bold, saturated colors look as pretty on your lips as they do on your vanity. “The domes of Lucite are inspired by my Globo collection—glowing and glamorous. Just like Lip Pop,” says Adler.",,lipstick,lipstick,[],2017-12-23T16:36:54.212Z,2017-12-23T23:38:48.387Z,http://makeup-api.herokuapp.com/api/v1/products/759.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/759/original/data?1514072328,"[{'hex_value': '#AD384A', 'colour_name': 'Love Pop'}, {'hex_value': '#EA2C51', 'colour_name': 'Palm Beach Pop'}, {'hex_value': '#7b3636', 'colour_name': 'Cola Pop'}, {'hex_value': '#f45a3b', 'colour_name': 'Melon Pop'}, {'hex_value': '#CC756C', 'colour_name': 'Beige Pop'}, {'hex_value': '#E51E4F', 'colour_name': 'Capri Pop '}, {'hex_value': '#FB8187', 'colour_name': 'Fab Pop'}, {'hex_value': '#C86464', 'colour_name': 'Bare Pop'}, {'hex_value': '#cd1859', 'colour_name': 'Cherry Pop'}, {'hex_value': '#F83A3C', 'colour_name': 'Poppy Pop'}, {'hex_value': '#AE266B', 'colour_name': 'Santorini Pop'}]"
760,clinique,Chubby Stick Baby Tint&trade; Moisturizing Lip Colour Balm,17.5,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_Z4CF_181x209.png,https://www.clinique.com/product/1605/30955/makeup/lipsticks/chubby-stick-baby-tint-moisturizing-lip-colour-balm,https://www.clinique.com,"A bit of colour, a hefty helping of moisture. These sheers bloom on contact to bring out your lips' natural tone. The colour is different for everyone.",,lipstick,lipstick,[],2017-12-23T16:36:54.729Z,2017-12-23T23:38:48.703Z,http://makeup-api.herokuapp.com/api/v1/products/760.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/760/original/data?1514072328,"[{'hex_value': '#ff8fb2', 'colour_name': 'Budding Blossom'}, {'hex_value': '#e35773', 'colour_name': 'Coming Up Rosy'}, {'hex_value': '#f26a6f', 'colour_name': ""Poppin' Poppy""}, {'hex_value': '#783e5b', 'colour_name': 'Flowering Freesia'}]"
761,clinique,Clinique Pop Liquid™ Matte Lip Colour + Primer,18.5,$,USD,https://www.clinique.com/media/export/cms/products/181x209/clq_ZLPM01_181x209.png,https://www.clinique.com/product/1605/42886/makeup/lipsticks/clinique-pop-liquidtm-matte-lip-colour-primer,https://www.clinique.com,"Lightweight liquid lipstick covers lips with lush pigment and a modern matte finish. Wears all day. Moisturizing formula with built-in primer provides a smooth, even glide so lips feel as fresh as they look.",,lipstick,lipstick,[],2017-12-23T16:36:54.947Z,2017-12-23T23:38:49.044Z,http://makeup-api.herokuapp.com/api/v1/products/761.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/761/original/data?1514072328,"[{'hex_value': '#e86ba5', 'colour_name': 'Petal Pop'}, {'hex_value': '#841544', 'colour_name': 'Boom Pop'}, {'hex_value': '#da7d7e', 'colour_name': 'Cake Pop'}, {'hex_value': '#c8093a', 'colour_name': 'Flame Pop'}, {'hex_value': '#ef3232', 'colour_name': 'Ripe Pop'}, {'hex_value': '#9e1b56', 'colour_name': 'Sweetheart Pop'}, {'hex_value': '#790126', 'colour_name': 'Candied Apple Pop'}, {'hex_value': '#5e072f', 'colour_name': 'Black Licorice Pop'}]"
